Name,Exterior,Price,Name,Exterior,Price
★ Butterfly Knife | Case Hardened ,Battle-Scarred,1314.48,★ Butterfly Knife | Case Hardened ,Battle-Scarred,1314.48
★ Karambit | Damascus Steel ,Field-Tested,1313.3,★ Karambit | Damascus Steel ,Field-Tested,1313.3
★ StatTrak™ Karambit | Damascus Steel ,Field-Tested,1313.3,★ StatTrak™ Karambit | Damascus Steel ,Field-Tested,1313.3
★ Sport Gloves | Scarlet Shamagh ,Minimal Wear,1308.14,★ Sport Gloves | Scarlet Shamagh ,Minimal Wear,1308.14
★ M9 Bayonet | Black Laminate ,Field-Tested,1304.26,★ M9 Bayonet | Black Laminate ,Field-Tested,1304.26
★ StatTrak™ M9 Bayonet | Black Laminate ,Field-Tested,1304.26,★ StatTrak™ M9 Bayonet | Black Laminate ,Field-Tested,1304.26
★ Butterfly Knife | Ultraviolet ,Field-Tested,1303.33,★ Butterfly Knife | Ultraviolet ,Field-Tested,1303.33
★ StatTrak™ Butterfly Knife | Ultraviolet ,Field-Tested,1303.33,★ StatTrak™ Butterfly Knife | Ultraviolet ,Field-Tested,1303.33
★ StatTrak™ Flip Knife | Lore ,Factory New,1302.07,★ StatTrak™ Flip Knife | Lore ,Blue Face,1302.07
★ Sport Gloves | Vice ,Battle-Scarred,1292.35,★ Sport Gloves | Vice ,Battle-Scarred,1292.35
★ Bayonet | Doppler ,Factory New,1280.31,★ Bayonet | Doppler ,Blue Face,1280.31
★ StatTrak™ Bayonet | Doppler ,Factory New,1280.31,★ StatTrak™ Bayonet | Doppler ,Blue Face,1280.31
★ Karambit | Freehand ,Minimal Wear,1278.81,★ Karambit | Freehand ,Minimal Wear,1278.81
★ StatTrak™ Karambit | Freehand ,Minimal Wear,1278.81,★ StatTrak™ Karambit | Freehand ,Minimal Wear,1278.81
★ Sport Gloves | Omega ,Field-Tested,1273.76,★ Sport Gloves | Omega ,Field-Tested,1273.76
★ Butterfly Knife | Freehand ,Well-Worn,1267.38,★ Butterfly Knife | Freehand ,Well-Worn,1267.38
★ StatTrak™ Butterfly Knife | Freehand ,Well-Worn,1267.38,★ StatTrak™ Butterfly Knife | Freehand ,Well-Worn,1267.38
★ Skeleton Knife | Case Hardened ,Minimal Wear,1263.94,★ Skeleton Knife | Case Hardened ,Minimal Wear,1263.94
★ Butterfly Knife | Rust Coat ,Battle-Scarred,1260.79,★ Butterfly Knife | Rust Coat ,Battle-Scarred,1260.79
★ StatTrak™ Butterfly Knife | Rust Coat ,Battle-Scarred,1260.79,★ StatTrak™ Butterfly Knife | Rust Coat ,Battle-Scarred,1260.79
★ StatTrak™ Skeleton Knife | Stained ,Factory New,1249.76,★ StatTrak™ Skeleton Knife | Stained ,Blue Face,1249.76
★ StatTrak™ Nomad Knife | Crimson Web ,Minimal Wear,1249.59,★ StatTrak™ Nomad Knife | Crimson Web ,Minimal Wear,1249.59
★ Driver Gloves | Black Tie ,Minimal Wear,1244.87,★ Driver Gloves | Black Tie ,Minimal Wear,1244.87
★ Butterfly Knife | Stained ,Field-Tested,1235.94,★ Butterfly Knife | Stained ,Field-Tested,1235.94
★ StatTrak™ Butterfly Knife | Stained ,Field-Tested,1235.94,★ StatTrak™ Butterfly Knife | Stained ,Field-Tested,1235.94
★ Butterfly Knife | Night ,Field-Tested,1234.04,★ Butterfly Knife | Night ,Field-Tested,1234.04
★ StatTrak™ Butterfly Knife | Night ,Field-Tested,1234.04,★ StatTrak™ Butterfly Knife | Night ,Field-Tested,1234.04
★ Specialist Gloves | Emerald Web ,Field-Tested,1220.3,★ Specialist Gloves | Emerald Web ,Field-Tested,1220.3
★ StatTrak™ Talon Knife | Slaughter ,Minimal Wear,1218.75,★ StatTrak™ Talon Knife | Slaughter ,Minimal Wear,1218.75
★ Sport Gloves | Amphibious ,Well-Worn,1208.89,★ Sport Gloves | Amphibious ,Well-Worn,1208.89
★ StatTrak™ Flip Knife | Marble Fade ,Factory New,1205.33,★ StatTrak™ Flip Knife | Marble Fade ,Blue Face,1205.33
★ M9 Bayonet | Crimson Web ,Field-Tested,1183.86,★ M9 Bayonet | Crimson Web ,Field-Tested,1183.86
★ StatTrak™ M9 Bayonet | Crimson Web ,Field-Tested,1183.86,★ StatTrak™ M9 Bayonet | Crimson Web ,Field-Tested,1183.86
★ Driver Gloves | Snow Leopard ,Field-Tested,1182.32,★ Driver Gloves | Snow Leopard ,Field-Tested,1182.32
★ Butterfly Knife | Stained ,Well-Worn,1182.01,★ Butterfly Knife | Stained ,Well-Worn,1182.01
★ StatTrak™ Bayonet | Slaughter ,Factory New,1177.65,★ StatTrak™ Bayonet | Slaughter ,Blue Face,1177.65
★ StatTrak™ Karambit | Bright Water ,Minimal Wear,1165.6,★ StatTrak™ Karambit | Bright Water ,Minimal Wear,1165.6
★ Flip Knife | Gamma Doppler ,Factory New,1148.17,★ Flip Knife | Gamma Doppler ,Blue Face,1148.17
★ StatTrak™ Flip Knife | Gamma Doppler ,Factory New,1148.17,★ StatTrak™ Flip Knife | Gamma Doppler ,Blue Face,1148.17
★ StatTrak™ Stiletto Knife | Marble Fade ,Factory New,1146.71,★ StatTrak™ Stiletto Knife | Marble Fade ,Blue Face,1146.71
★ Stiletto Knife | Marble Fade ,Factory New,1146.71,★ Stiletto Knife | Marble Fade ,Blue Face,1146.71
★ Specialist Gloves | Tiger Strike ,Field-Tested,1144.28,★ Specialist Gloves | Tiger Strike ,Field-Tested,1144.28
★ Sport Gloves | Big Game ,Minimal Wear,1141.49,★ Sport Gloves | Big Game ,Minimal Wear,1141.49
★ StatTrak™ Skeleton Knife | Crimson Web ,Battle-Scarred,1136.9,★ StatTrak™ Skeleton Knife | Crimson Web ,Battle-Scarred,1136.9
★ Skeleton Knife | Crimson Web ,Battle-Scarred,1136.84,★ Skeleton Knife | Crimson Web ,Battle-Scarred,1136.84
★ Sport Gloves | Arid ,Field-Tested,1127.2,★ Sport Gloves | Arid ,Field-Tested,1127.2
★ StatTrak™ Karambit | Stained ,Minimal Wear,1124.56,★ StatTrak™ Karambit | Stained ,Minimal Wear,1124.56
★ StatTrak™ Karambit | Blue Steel ,Field-Tested,1123.75,★ StatTrak™ Karambit | Blue Steel ,Field-Tested,1123.75
★ StatTrak™ Karambit | Freehand ,Field-Tested,1117.87,★ StatTrak™ Karambit | Freehand ,Field-Tested,1117.87
★ StatTrak™ Talon Knife,,1110.07,★ StatTrak™ Talon Knife,,1110.07
★ StatTrak™ Stiletto Knife | Doppler ,Factory New,1101.93,★ StatTrak™ Stiletto Knife | Doppler ,Blue Face,1101.93
★ Stiletto Knife | Doppler ,Factory New,1101.93,★ Stiletto Knife | Doppler ,Blue Face,1101.93
★ Butterfly Knife | Night ,Well-Worn,1098.65,★ Butterfly Knife | Night ,Well-Worn,1098.65
★ Butterfly Knife | Boreal Forest ,Field-Tested,1081.99,★ Butterfly Knife | Boreal Forest ,Field-Tested,1081.99
