URL,BRAND NAME,SKU
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Terra & Sky,4
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Wonder Nation,39
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Justice,36
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Skechers,4
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Athletic Works,34
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Michael Kors,1
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Free Assembly,20
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Under Armour,11
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Little Star Organic,2
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,The Children's Place,35
https://www.walmart.com/shop/deals/clothing-and-accessories?povid=FashionDepartment_Savings,Woman Within,30
https://www.walmart.com/browse/books/kobo-ereader-devices-accessories/3920_3252253,Kobo,36
https://www.walmart.com/browse/books/kobo-ereader-devices-accessories/3920_3252253,Walmart eBooks,5
https://www.walmart.com/browse/textbooks/3920_582377,Channie's,12
https://www.walmart.com/browse/textbooks/3920_582377,Bendon,1
https://www.walmart.com/browse/textbooks/3920_582377,Blank Classic,72
https://www.walmart.com/browse/textbooks/3920_582377,Adams,1
https://www.walmart.com/browse/textbooks/3920_582377,Baby Professor,120
https://www.walmart.com/browse/textbooks/3920_582377,Flame Tree Publishing,221
https://www.walmart.com/browse/textbooks/3920_582377,DK Bicycles,175
https://www.walmart.com/browse/textbooks/3920_582377,Ball,1
https://www.walmart.com/browse/textbooks/3920_582377,BrownTrout,1
https://www.walmart.com/browse/textbooks/3920_582377,Dan Matt,1
https://www.walmart.com/browse/textbooks/3920_582377,ACT,9
https://www.walmart.com/browse/textbooks/3920_582377,For Dummies,423
https://www.walmart.com/browse/textbooks/3920_582377,American Medical Association,22
https://www.walmart.com/browse/textbooks/3920_582377,Dave Ramsey,19
https://www.walmart.com/browse/textbooks/3920_582377,Founding Fathers Coffees,3
https://www.walmart.com/browse/textbooks/3920_582377,Dale Carnegie,10
https://www.walmart.com/browse/textbooks/3920_582377,Disney,11
https://www.walmart.com/browse/textbooks/3920_582377,Dover Farms,19
https://www.walmart.com/browse/textbooks/3920_582377,Adams Media,117
https://www.walmart.com/browse/textbooks/3920_582377,Applewood Books,15
https://www.walmart.com/browse/books/magazines/3920_3298715,Better Homes & Gardens,1
https://www.walmart.com/browse/books/magazines/3920_3298715,National Geographic,16
https://www.walmart.com/browse/books/magazines/3920_3298715,Cooking Light,6
https://www.walmart.com/browse/books/magazines/3920_3298715,Creative Publishing International,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Vogue,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Life Magazine,5
https://www.walmart.com/browse/books/magazines/3920_3298715,Topix,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Marvel,82
https://www.walmart.com/browse/books/magazines/3920_3298715,Nerd Block,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Breathe Magazine,2
https://www.walmart.com/browse/books/magazines/3920_3298715,SPLATRBALL,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Weight Watchers,2
https://www.walmart.com/browse/books/magazines/3920_3298715,Magideal,3
https://www.walmart.com/browse/books/magazines/3920_3298715,Mute Snoring,3
https://www.walmart.com/browse/books/magazines/3920_3298715,Martha Stewart,3
https://www.walmart.com/browse/books/magazines/3920_3298715,Tony Stewart,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Beckett,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Time Inc.,2
https://www.walmart.com/browse/books/magazines/3920_3298715,Smith Brothers,1
https://www.walmart.com/browse/books/magazines/3920_3298715,Curtis Circulation,2
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Disney,63
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Ballantine Books,324
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,HarperCollins Publishers,933
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Billie Eilish,3
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Bono,4
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Buena Vista Home Entertainment,6
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Crown,11
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Harper,323
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Elton John,6
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Harper Perennial,450
https://www.walmart.com/browse/books/biographies-memoirs/3920_5196470,Andy Warhol,8
