name,website,reason
University of Cambridge,https://cam.ac.uk/,WRONG WEBSITE
European FoodNexus Startup Challenge,https://www.fnsc.eu/,WRONG WEBSITE
FUND FOR SUSTAINABILITY AND ENERGY (FUND4SE),http://f4se.com/,WRONG WEBSITE
the Skolkovo Fund,https://old.sk.ru/foundation/,WRONG WEBSITE
Mitsui Sumitomo Insurance Group,https://msivc.co.jp/,WRONG WEBSITE
Edward Norton,http://twitter.com/EdwardNorton,WRONG WEBSITE
ERP Startfonds,https://kfw.de/kfw/en/index.jsp,WRONG WEBSITE
University of Erlangen-Nuremberg,https://www.fau.eu/,WRONG WEBSITE
Faurencia Ventures,https://www.faurecia.com/en,WRONG WEBSITE
Kreissparkasse Esslingen-Nürtingen,http://ksk-es.de/,WRONG WEBSITE
Siam Cement Chemicals,https://scg.com/,WRONG WEBSITE
Alumni Ventures Group,https://av.vc/,WRONG WEBSITE
Härjeåns Kraft,http://www.harjeans.se/,WRONG WEBSITE
Technology fund,https://www.technologiefonds.ch/,WRONG WEBSITE
Groupe ADP,https://parisaeroport.fr/,WRONG WEBSITE
Finnish Business Angels,https://fiban.org/,WRONG WEBSITE
Investeringsfonds Groningen,https://ifg.nl/,WRONG WEBSITE
Swammerdam Institute for Life Sciences,https://sils.uva.nl/,WRONG WEBSITE
Swiss Federal Office of Energy,https://www.bfe.admin.ch/bfe/en/home.html,WRONG WEBSITE
Climate-KIC Accelerator London,http://www.senova.fr/,WRONG WEBSITE
Federal Ministry for Environment Nature Conservation,https://www.bmu.de/en/,WRONG WEBSITE
Automative Supplier Innovation Program,https://www.ic.gc.ca/eic/site/sea-ees.nsf/eng/ey00031.html,WRONG WEBSITE
National Institutes of Health,https://www.nih.gov/,WRONG WEBSITE
Valedor Partners,http://newlight.com/,WRONG WEBSITE
Fourth Swedish National Pension Fund,https://www.ap4.se/en/,WRONG WEBSITE
Third Swedish National Pension Fund,https://www.ap3.se/en/,WRONG WEBSITE
Wave Ventures,http://carboculture.com/,WRONG WEBSITE
Montrose Lane (fka Cottonwood Venture Partners),http://ambyint.com/,WRONG WEBSITE
Tiberius Geldard,https://www.rentecars.co.uk/,WRONG WEBSITE
German Aerospace Center,https://www.dlr.de/EN/Home/home_node.html,WRONG WEBSITE
Biotechnology Industry Research Assistance Council(BIRAC),https://naturedots.com,WRONG WEBSITE
Department of Science and Technology,https://naturedots.com,WRONG WEBSITE
Alaska Permanent Fund,http://www.indigoag.com/,WRONG WEBSITE
Pacific Western Bank,https://www.pacwest.com/,WRONG WEBSITE
FedEx,http://www.indigoag.com/,WRONG WEBSITE
Investment Corporation of Dubai (ICD),http://www.indigoag.com/,WRONG WEBSITE
Net Zero Accelerator,https://svanteinc.com/,WRONG WEBSITE
Business Development Bank of Canada,https://www.bdc.ca/en,WRONG WEBSITE
Husky Energy,https://svanteinc.com/,WRONG WEBSITE
Redpoint,http://llchemical.com,WRONG WEBSITE
Hampton Securities,http://pondtech.com/,WRONG WEBSITE
Industrial Alliance Securities Inc,http://pondtech.com/,WRONG WEBSITE
Focus Ventures,http://www.picarro.com,WRONG WEBSITE
German Federal Environmental Foundation,https://www.dbu.de/english,WRONG WEBSITE
MEET Battery Research Center,https://www.uni-muenster.de/MEET/en/index.shtml,WRONG WEBSITE
Gerald Schönbucher,http://www.real.de/,WRONG WEBSITE
MaRS Investment Accelerator Fund,http://www.woodlandbiofuels.com,WRONG WEBSITE
StartGreen Capital,http://www.evening-breeze.com/,WRONG WEBSITE
Horst Görtz Institut- Ruhr Universität Bochum,https://hgi.rub.de/,WRONG WEBSITE
Climate Change Capital,http://www.nualight.com,WRONG WEBSITE
Techstars Boulder Accelerator,https://atomchat.io/,WRONG WEBSITE
William Jewell College,https://www.spirainc.com/,WRONG WEBSITE
Kuwait Petroleum International,https://q8.com/,WRONG WEBSITE
The Venture Reality Fund/VRF,http://www.embodiedlabs.com/,WRONG WEBSITE
Ziegler LinkAge Longevity Fund,http://www.embodiedlabs.com/,WRONG WEBSITE
Zone Startups In,https://www.fertilitydost.com/,WRONG WEBSITE
UNICEF Innovation Fund,http://www.leafglobalfintech.com/,WRONG WEBSITE
Utilities Hann. Münden,https://www.versorgungsbetriebe.de/,WRONG WEBSITE
Gustav Kristiansson,https://www.rumblestrip.tech,WRONG WEBSITE
Johan Franzen,https://www.rumblestrip.tech,WRONG WEBSITE
WindSail Capital Group,http://goelectricinc.com,WRONG WEBSITE
GP Investments,http://goelectricinc.com,WRONG WEBSITE
Base10 Partners,https://www.ongrin.com,WRONG WEBSITE
NEXT Canada,https://chargehub.com,WRONG WEBSITE
Food AFrica Accelerator,https://www.solarfreeze.co.ke,WRONG WEBSITE
InterTradeIreland Seedcorn Investor Readiness Competition,https://stylwrap.com/,WRONG WEBSITE
http://www.blockchainopen.fund/,Blockchain Open Fund ,WRONG WEBSITE
