Title,Variation 1 Value,Variation 2 Name,Variation 2 Value,Variation 3 Name,Variation 3 Value,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link
Apple AirPods 2nd Generation,Charging Case,,,,,,,https://www.amazon.ae/dp/B07NWBVQWK?th=1,,,,,,,,,,,,
Apple AirPods 2nd Generation,Wireless Charging Case,,,,,,,https://www.amazon.ae/dp/B07MGCR36N?th=1,,,,,,,,,,,,
Apple AirPods 3rd Generation,Lightning Charging Case,,,,,,,https://www.amazon.ae/Apple-AirPods-3rd-generation-Lightning-Charging/dp/B0BDKB96DD/ref=sr_1_4?crid=1ZH4BP1RCFU1E&keywords=AirPods%2B3rd%2BGeneration&qid=1679247971&sprefix=airpods%2B3rd%2Bgeneration%2Caps%2C310&sr=8-4&th=1,,,,,,,,,,,,
Apple AirPods 3rd Generation,MagSafe Charging Case,,,,,,,https://www.amazon.ae/Apple-AirPods-3rd-generation-Lightning-Charging/dp/B09JRJVQVH/ref=sr_1_4?crid=1ZH4BP1RCFU1E&keywords=AirPods%2B3rd%2BGeneration&qid=1679247971&sprefix=airpods%2B3rd%2Bgeneration%2Caps%2C310&sr=8-4&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8,Graphite Grey,Storage Space,128GB,Variant,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQMJ5XG/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8,Graphite Grey,,256GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQNBLZH/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8,Graphite Grey,,512GB,,Wi-Fi,,,,,,,,,,,,,,,
Samsung Galaxy Tab S8,Silver,,128GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQN1SW9/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8,Silver,,256GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQN47Z9/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8,Silver,,512GB,,Wi-Fi,,,,,,,,,,,,,,,
Samsung Galaxy Tab S8,Pink Gold,,128GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQM7XHC/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8,Pink Gold,,256GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQLMS93/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8,Pink Gold,,512GB,,Wi-Fi,,,,,,,,,,,,,,,
Samsung Galaxy Tab S8+,Graphite Grey,Storage Space,128GB,Variant,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQN4679/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8+,Graphite Grey,,256GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQLN37K/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8+,Graphite Grey,,512GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B0B7Y1ZC9L/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8+,Silver,,128GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQNG86N/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8+,Silver,,256GB,,Wi-Fi,,,https://www.amazon.ae/Samsung-Qualcomm-Snapdragon-IncludedProductivity/dp/B09NQN355W/ref=sr_1_7?crid=3SKQUAF05WJJP&keywords=Galaxy%2BTab%2BS8&qid=1675534658&sprefix=galaxy%2Btab%2Bs8%2Caps%2C435&sr=8-7&th=1,,,,,,,,,,,,
Samsung Galaxy Tab S8+,Silver,,512GB,,Wi-Fi,,,,,,,,,,,,,,,
